@RELATION test

@ATTRIBUTE max NUMERIC
@ATTRIBUTE min NUMERIC
@ATTRIBUTE range NUMERIC
@ATTRIBUTE distance NUMERIC
@ATTRIBUTE entropy NUMERIC
@ATTRIBUTE FFT_intensity NUMERIC
@ATTRIBUTE class {talking, chewing}

@DATA
24790, -16276, 41066, 3988, 6.36734907894, 88499.3791266, talking
24790, -14212, 39002, 4072, 6.66055129027, 86545.1924662, talking
24902, -11539, 36441, 3933, 6.61962890251, 83916.1257444, talking
24902, -11539, 36441, 3632, 6.41265333372, 79743.0756709, talking
17652, -12274, 29926, 3421, 6.48523426949, 75882.6184719, talking
16916, -12274, 29190, 3623, 6.54796495477, 77399.9965677, talking
17316, -10387, 27703, 3685, 6.50918991736, 79184.4464873, talking
21685, -11075, 32760, 3766, 6.60574695337, 81885.4681162, talking
21685, -11075, 32760, 4037, 6.7317072277, 82376.8630324, talking
18964, -9955, 28919, 3851, 6.76966001642, 79313.0132902, talking
20549, -7697, 28246, 3715, 6.82179243457, 81737.2204158, talking
20949, -11299, 32248, 3852, 6.7700361649, 86593.7887335, talking
20949, -11299, 32248, 3648, 6.67549265731, 79174.9176866, talking
17188, -9186, 26374, 3245, 6.54947472978, 70226.9935963, talking
15827, -13411, 29238, 3222, 6.60574698842, 68567.5835492, talking
18885, -13411, 32296, 3430, 6.64778708844, 75329.956366, talking
22086, -12483, 34569, 3868, 6.60639386553, 86210.5015525, talking
25911, -17204, 43115, 4362, 6.76264046641, 94466.0448817, talking
25911, -17204, 43115, 4026, 6.7197072277, 87628.3044408, talking
19541, -13955, 33496, 3608, 6.65206177354, 79778.5156221, talking
16964, -13955, 30919, 3658, 6.82395529182, 78238.6791858, talking
16964, -12548, 29512, 3599, 6.93364638776, 75492.1238699, talking
19045, -12931, 31976, 3562, 7.00334118121, 74844.1376397, talking
19045, -12931, 31976, 3472, 6.94576978847, 73647.9529859, talking
18053, -9458, 27511, 3595, 7.0006192742, 74500.9252238, talking
23717, -11363, 35080, 3800, 6.93921585963, 80384.5616431, talking
23717, -12643, 36360, 4120, 7.08562572427, 89716.7363505, talking
25911, -12643, 38554, 4280, 6.94435832775, 89147.1495518, talking
25911, -17780, 43691, 3937, 6.72733596346, 81111.3108477, talking
18436, -17780, 36216, 3547, 6.7557072277, 75073.3786534, talking
18436, -13523, 31959, 3367, 6.85647626211, 74712.3762664, talking
18421, -12483, 30904, 3581, 6.78137461891, 75718.5153751, talking
21557, -12803, 34360, 3939, 6.85228265957, 82954.1514774, talking
21557, -12803, 34360, 3925, 6.87051073179, 83210.7148408, talking
19205, -10707, 29912, 3564, 6.88301373159, 76923.7158474, talking
20757, -11714, 32471, 3462, 6.79590147827, 75183.5470708, talking
21685, -11714, 33399, 3645, 6.55357493011, 77389.3345949, talking
21685, -14420, 36105, 3936, 6.53025544883, 84769.5266893, talking
19924, -40730, 60654, 4086, 6.65374698842, 90398.9362064, talking
19749, -40730, 60479, 3639, 6.67880663845, 83750.7104536, talking
29927, -14915, 44842, 3637, 6.69655129027, 86389.2407823, talking
29927, -14915, 44842, 3794, 6.74906337862, 86696.4707057, talking
16980, -8994, 25974, 3751, 6.72644073547, 75438.4059333, talking
16980, -12643, 29623, 4109, 6.69851220732, 83400.4794753, talking
16644, -12643, 29287, 3767, 6.79496587342, 79061.244753, talking
