@RELATION test

@ATTRIBUTE max NUMERIC
@ATTRIBUTE min NUMERIC
@ATTRIBUTE range NUMERIC
@ATTRIBUTE distance NUMERIC
@ATTRIBUTE entropy NUMERIC
@ATTRIBUTE class {rest,clenched}

@DATA
1216, 0, 1216, 488, 488, clenched
1584, 0, 1584, 532, 532, clenched
1584, 0, 1584, 534, 534, clenched
1248, 0, 1248, 458, 458, clenched
1312, 0, 1312, 471, 471, clenched
1312, 0, 1312, 526, 526, clenched
1264, 0, 1264, 539, 539, clenched
1264, 0, 1264, 577, 577, clenched
1664, 0, 1664, 546, 546, clenched
1664, 0, 1664, 555, 555, clenched
1328, 0, 1328, 512, 512, clenched
1328, 0, 1328, 553, 553, clenched
1328, 0, 1328, 601, 601, clenched
1328, 0, 1328, 580, 580, clenched
2432, 0, 2432, 644, 644, clenched
2432, 0, 2432, 635, 635, clenched
1232, 0, 1232, 478, 478, clenched
1248, 0, 1248, 448, 448, clenched
1344, 0, 1344, 547, 547, clenched
1344, 0, 1344, 528, 528, clenched
1296, 0, 1296, 455, 455, clenched
1392, 0, 1392, 452, 452, clenched
1392, 0, 1392, 433, 433, clenched
1296, 0, 1296, 426, 426, clenched
1984, 0, 1984, 451, 451, clenched
1984, 0, 1984, 465, 465, clenched
1344, 0, 1344, 498, 498, clenched
1424, 0, 1424, 480, 480, clenched
1424, 0, 1424, 448, 448, clenched
1936, 0, 1936, 456, 456, clenched
1936, 0, 1936, 452, 452, clenched
1504, 0, 1504, 441, 441, clenched
1504, 0, 1504, 404, 404, clenched
1520, 0, 1520, 420, 420, clenched
1520, 0, 1520, 432, 432, clenched
1392, 0, 1392, 393, 393, clenched
1456, 0, 1456, 405, 405, clenched
2256, 0, 2256, 444, 444, clenched
2256, 0, 2256, 435, 435, clenched
2224, 0, 2224, 401, 401, clenched
1808, 0, 1808, 443, 443, clenched
1808, 0, 1808, 446, 446, clenched
2272, 0, 2272, 404, 404, clenched
2272, 0, 2272, 401, 401, clenched
1808, 0, 1808, 384, 384, clenched
2576, 0, 2576, 411, 411, clenched
2576, 0, 2576, 393, 393, clenched
1456, 0, 1456, 376, 376, clenched
1456, 0, 1456, 398, 398, clenched
