@RELATION test

@ATTRIBUTE max NUMERIC
@ATTRIBUTE min NUMERIC
@ATTRIBUTE range NUMERIC
@ATTRIBUTE distance NUMERIC
@ATTRIBUTE entropy NUMERIC
@ATTRIBUTE class {talking, chewing, swallow}

@DATA
7729, 5489, 2240, 32, 6.35520677034, chewing
7729, 5073, 2656, 30, 6.58543256096, chewing
9810, 5057, 4753, 37, 6.64843796066, chewing
9810, 5057, 4753, 45, 7.16623399887, chewing
9634, 5505, 4129, 33, 6.61428425119, chewing
6785, 5505, 1280, 28, 5.75267009212, chewing
6785, 5345, 1440, 26, 5.97731543736, chewing
6961, 5153, 1808, 26, 6.0347342596, chewing
9954, 5153, 4801, 47, 6.58250248104, chewing
9954, 5489, 4465, 44, 7.15103292263, chewing
7505, 5073, 2432, 25, 6.34204161966, chewing
6433, 5073, 1360, 26, 6.03487687547, chewing
6433, 4945, 1488, 24, 6.01006128725, chewing
9154, 4945, 4209, 39, 6.55506968495, chewing
9154, 4961, 4193, 44, 7.06917534884, chewing
8161, 4817, 3344, 20, 6.77474842311, chewing
6545, 4817, 1728, 21, 6.0550584017, chewing
6689, 4929, 1760, 26, 6.30958931394, chewing
6689, 4865, 1824, 25, 6.28048821298, chewing
8786, 4865, 3921, 40, 6.70454128685, chewing
8786, 5089, 3697, 38, 7.19259436073, chewing
7025, 5089, 1936, 21, 5.66997995258, chewing
8546, 5137, 3409, 36, 5.97918673213, chewing
8546, 5441, 3105, 40, 6.67927885149, chewing
9490, 5937, 3553, 39, 6.62423417532, chewing
9490, 5793, 3697, 42, 6.9259742726, chewing
9122, 4897, 4225, 26, 6.89058356133, chewing
6529, 4897, 1632, 24, 5.78341587366, chewing
6881, 4913, 1968, 29, 5.83612201306, chewing
6881, 5681, 1200, 28, 5.77119843152, chewing
8674, 5681, 2993, 35, 6.4813038012, chewing
8674, 5793, 2881, 37, 6.75635976062, chewing
7649, 4977, 2672, 24, 6.62310049972, chewing
6337, 4977, 1360, 24, 6.05478769958, chewing
6337, 4993, 1344, 23, 6.02102247614, chewing
7089, 4673, 2416, 28, 6.0965165136, chewing
8578, 4673, 3905, 43, 6.58357498717, chewing
8578, 6385, 2193, 35, 5.66995773065, chewing
6625, 6161, 464, 16, 4.50862807206, chewing
7553, 6145, 1408, 18, 4.79258134615, chewing
7905, 6145, 1760, 26, 5.99060237877, chewing
7905, 6577, 1328, 26, 5.6378562497, chewing
7137, 6577, 560, 22, 4.91770013254, chewing
7137, 6337, 800, 21, 5.22145264563, chewing
7041, 5969, 1072, 17, 5.61578229988, chewing
8786, 5969, 2817, 28, 6.1902849115, chewing
8786, 6161, 2625, 29, 6.6167369634, chewing
7665, 6161, 1504, 23, 5.6945411961, chewing
8258, 6161, 2097, 29, 5.95780473545, chewing
8258, 6241, 2017, 27, 6.41192388932, chewing
7233, 6129, 1104, 24, 5.36063608439, chewing
9730, 6129, 3601, 35, 6.02023975677, chewing
9730, 6001, 3729, 32, 6.97619489885, chewing
