@RELATION test

@ATTRIBUTE max NUMERIC
@ATTRIBUTE min NUMERIC
@ATTRIBUTE range NUMERIC
@ATTRIBUTE distance NUMERIC
@ATTRIBUTE entropy NUMERIC
@ATTRIBUTE class {talking, drink, swallow}

@DATA
5649, 5553, 96, 12, 1.94716908248, talking
5649, 5553, 96, 13, 2.02536066063, talking
5649, 5553, 96, 14, 2.12292011317, talking
5649, 5553, 96, 12, 2.32406686513, talking
5665, 5553, 112, 12, 2.50453491983, talking
5665, 5569, 96, 13, 2.11714075522, talking
5665, 5569, 96, 15, 1.98938081808, talking
5729, 5569, 160, 17, 2.99671988713, talking
5729, 5585, 144, 17, 2.79710852009, talking
5697, 5553, 144, 15, 2.93477567457, talking
5665, 5537, 128, 13, 2.44700218858, talking
5617, 5521, 96, 13, 2.37212884808, talking
5633, 5521, 112, 12, 2.37124277198, talking
5649, 5537, 112, 12, 2.4664553866, talking
5649, 5521, 128, 13, 2.2005886688, talking
5665, 5521, 144, 13, 2.28304477783, talking
5665, 5569, 96, 14, 2.23719636241, talking
5665, 5569, 96, 14, 2.23714492568, talking
5665, 5569, 96, 15, 2.20765468271, talking
5649, 5537, 112, 16, 2.22592467443, talking
5665, 5537, 128, 16, 2.31089116207, talking
5665, 5537, 128, 14, 2.23720397798, talking
5713, 5457, 256, 14, 3.44444038723, talking
5713, 5457, 256, 13, 3.47200477586, talking
5649, 5553, 96, 12, 2.22729577471, talking
5697, 5569, 128, 12, 2.65744706058, talking
5777, 5569, 208, 13, 3.27107191574, talking
5889, 5569, 320, 14, 4.18816142363, talking
5889, 5729, 160, 17, 3.01711382752, talking
5889, 5649, 240, 17, 3.69043283844, talking
5809, 5569, 240, 15, 3.58787495789, talking
5713, 5569, 144, 18, 2.80743059242, talking
5713, 5569, 144, 17, 2.65246914387, talking
5729, 5617, 112, 13, 2.35039952773, talking
5729, 5601, 128, 13, 2.28308442982, talking
5745, 5601, 144, 14, 2.36250553829, talking
6049, 5633, 416, 15, 4.20577398858, talking
6081, 5729, 352, 16, 4.21172753317, talking
6081, 5569, 512, 15, 4.51468933021, talking
5793, 5457, 336, 17, 4.14310701418, talking
5633, 5441, 192, 17, 3.2870767464, talking
5553, 5441, 112, 14, 2.80722365015, talking
5569, 5473, 96, 14, 2.10104047986, talking
5601, 5473, 128, 12, 1.95430303926, talking
5761, 5505, 256, 13, 3.08823499725, talking
6225, 5505, 720, 16, 4.74062851644, talking
6225, 5809, 416, 17, 4.31962954942, talking
6353, 5761, 592, 16, 4.9413322247, talking
6353, 5553, 800, 14, 5.24113426404, talking
5761, 5553, 208, 13, 3.17281184556, talking
5649, 5537, 112, 13, 2.18700680396, talking
5633, 5505, 128, 14, 2.61371207649, talking
5601, 5505, 96, 16, 2.19216759661, talking
5745, 5505, 240, 17, 3.31266830579, talking
5745, 5521, 224, 15, 3.65413388729, talking
5745, 5377, 368, 13, 4.34298248185, talking
5601, 5377, 224, 13, 3.23464488768, talking
5569, 5377, 192, 12, 2.87882148028, talking
5681, 5393, 288, 13, 3.9328955662, talking
5729, 5537, 192, 14, 3.29439893833, talking
5761, 5633, 128, 14, 2.59558342551, talking
5793, 5649, 144, 16, 2.81958362968, talking
5793, 5345, 448, 17, 3.88378302216, talking
5665, 5345, 320, 15, 3.53479099272, talking
5665, 5425, 240, 14, 3.18416519473, talking
5553, 5393, 160, 12, 3.11390668935, talking
5505, 5377, 128, 11, 2.21659529435, talking
5473, 5377, 96, 11, 1.82212484719, talking
5489, 5393, 96, 12, 1.81864071041, talking
5505, 5409, 96, 14, 2.2917806221, talking
5505, 5409, 96, 16, 2.18759156303, talking
5505, 5361, 144, 17, 2.4242670842, talking
5489, 5361, 128, 16, 2.31236390037, talking
5489, 5377, 112, 13, 2.21365235263, talking
5457, 5377, 80, 11, 1.90175296779, talking
5457, 5361, 96, 12, 2.10307510706, talking
5441, 5345, 96, 12, 2.18611015172, talking
6113, 5345, 768, 16, 3.65539342234, talking
6145, 5361, 784, 18, 5.12153886046, talking
6145, 5569, 576, 15, 4.7981125527, talking
5761, 5505, 256, 13, 3.50041361728, talking
5601, 5441, 160, 14, 2.82434607549, talking
5553, 5441, 112, 14, 2.07325482938, talking
5537, 5441, 96, 14, 1.86127312424, talking
5537, 5425, 112, 16, 2.26335630956, talking
